job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
"Lập Trình Viên Java (Product Domain Bank, Fintech)","backend developer, nghỉ thứ 7, 3 năm kinh ng..., backend developer, n...",3,Hà Nội,Công ty Cổ phần Atomi Digital,onsite,20000000,30000000,VND
Mobile Development Engineer (Android/IOS),"mobile developer, it - phần mềm, nghỉ thứ 7, t..., mobile developer, it...",3,Hồ Chí Minh (mới),CÔNG TY TNHH PANDA AGENCY,onsite,600,1500,USD
"[Junior, Senior] BackEend Engineer (Java, Go) - Khối Công Nghệ Thông Tin (HOLT.03)","backend developer, it - phần mềm, ngân hàng, t..., backend developer, i...",1,Hà Nội,NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,onsite,,,
Software Engineer (.Net Developer),"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",2,Hồ Chí Minh (mới),Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,onsite,,,
Android Developer,"mobile developer, it - phần mềm, nghỉ thứ 7, 3..., mobile developer, it...",3,Hà Nội,CÔNG TY CỔ PHẦN IKAME GLOBAL,onsite,35000000,35000000,VND
Kỹ Sư Lập Trình C++,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,Công ty TNHH Công Nghệ Dicom,onsite,,,
[Mobile] Middle React Native Developer (Product EdTech),"mobile developer, it - phần mềm, giáo dục / ..., mobile developer, it...",2,Hà Nội,Công ty cổ phần SANAN,onsite,30000000,30000000,VND
"Lập Trình Viên PHP (Offer 9-12tr, 6 Tháng-1 Năm Kinh Nghiệm)","fullstack developer, it - phần mềm, it - phầ..., fullstack develope...",1,Hà Nội,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,onsite,9000000,12000000,VND
Middle Backend Developer,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hồ Chí Minh (mới),WACONTRE ONE MEMBER LIMITED,onsite,,,
"Senior Back End Developer (.NET,C#, SQL)","backend developer, it - phần mềm, điện toán ..., backend developer, i...",3,Hồ Chí Minh (mới),Công ty TNHH Liên doanh Ocany Việt Nam,onsite,20000000,24000000,VND
Android Developer Onsite Số 1 Giang Văn Minh (Lương 25- 30 Triệu),"mobile developer, it - phần mềm, nghỉ thứ 7, 5..., mobile developer, it...",5,Hà Nội,CÔNG TY CỔ PHẦN TECHASIANS,onsite,25000000,30000000,VND
Android Developer,"mobile developer, it - phần mềm, thương mại ..., mobile developer, it...",3,Hà Nội,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,onsite,30000000,50000000,VND
Fullstack Developer (Nodejs),"fullstack developer, đại ..., fullstack develope...",3,Hồ Chí Minh (mới),CÔNG TY TNHH ATHENA AI,onsite,,,
Middle Backend Developer (PHP/Laravel),"backend developer, it - phần mềm, điện toán ..., backend developer, i...",2,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NEWWAY,onsite,,,
"Kỹ Sư Lập Trình C/C++/C# [Hà Nội] - Thu Nhập Cạnh Tranh, Từ 1 Năm Kinh Nghiệm","backend developer, it - phần mềm, it - phần ..., backend developer, i...",1,Hà Nội,Công ty cổ phần phần mềm nhúng NATA,onsite,,,
